Group,Gal,zmemb,ra,dec,logSFR_NUV,logSFR_FUV,RE_g,n_g,RE_r,n_r,RE_i,n_i,RE_z,n_z,e_RE_g,e_n_g,e_RE_r,e_n_r,e_RE_i,e_n_i,e_RE_z,e_n_z,m_g_corrected,m_r_corrected,m_i_corrected,m_z_corrected,ebv,e_mag_g,e_mag_r,e_mag_i,e_mag_z,FUV_corrected,NUV_corrected
168,4,0.033404,228.187522824389,26.58034235816466,-0.24200339567767237,-0.21818675976379787,14.2086,1.3594,13.6072,1.4114,0.0,0.0,12.4124,1.5148,0.0448,0.0059,0.0375,0.0051,0.0,0.0,0.0996,0.0146,18.177579615890004,17.73023134893518,,17.405342678278807,0.05411434,0.0021718037673319635,0.002497529689460449,Infinity,0.0049450917478963035,19.750436374817173,19.649749816962657
168,2,0.032967,228.1551079683782,26.57635339860423,-0.4209898010676447,-0.4414443901917391,24.2238,1.222,24.6244,1.1985,0.0,0.0,25.4203,1.1518,0.0492,0.0036,0.0469,0.003,0.0,0.0,0.1291,0.0084,17.92603136807482,17.681842007189246,,17.460368895402095,0.054949567,0.0015986161546768267,0.0020525725228625106,Infinity,0.004409894644210226,19.42211950287317,19.309362490937062
168,3,0.033404,228.1697898704123,26.57489943229878,0.17711945785323913,0.1791390264970243,14.7497,1.3741,14.3429,1.2546,0.0,0.0,13.5344,1.0172,0.0282,0.004,0.0242,0.0031,0.0,0.0,0.0617,0.0084,17.957232823635792,17.746749522688653,,17.57858118623017,0.054666076,0.0015174769205420183,0.0019374016540497144,Infinity,0.004109658065001284,18.757121909165118,18.601942683135377
170,4,0.081006,230.1988059847707,30.45536469076909,0.7277907015174083,0.6830835330462399,17.368,1.6866,18.0502,1.9736,0.0,0.0,19.4057,2.5438,0.0314,0.0035,0.0254,0.0027,0.0,0.0,0.0671,0.0068,16.642402745930024,15.803945546912004,,15.193009704903199,0.022539776,0.001134210457010643,0.0010827620872085205,Infinity,0.0014310396025483969,19.97527270910245,19.192277069409776
170,3,0.080169,230.1779676599777,30.4613786498883,0.5913336482062093,0.5783249897595582,14.8708,0.6379,14.5983,0.7912,0.0,0.0,14.0569,1.0959,0.0234,0.0021,0.0223,0.002,0.0,0.0,0.0541,0.0057,17.72809507948449,17.131031734109936,,16.67591848735991,0.0225059,0.0018086453675968766,0.0021187713766117845,Infinity,0.0033760175237271517,20.05671861432946,19.58276441806998
170,2,0.031084,230.1592807323631,30.47167968523914,,0.5182632893023609,14.0293,0.6771,14.4971,0.7944,0.0,0.0,15.4266,1.0276,0.0062,6.0E-4,0.0063,6.0E-4,0.0,0.0,0.0162,0.0015,,,,,0.022357415,Infinity,Infinity,Infinity,Infinity,17.75300337852963,
170,1,0.081006,230.157390605461,30.47844068127143,0.5227696714747623,0.5372603900012844,6.3069,1.6527,5.7624,1.7701,0.0,0.0,4.6805,2.0034,0.0148,0.0099,0.0101,0.0071,0.0,0.0,0.0208,0.0177,18.384905558406572,17.740460334079174,,17.230835932767942,0.022253089,0.0019124269327826322,0.0020310211358677195,Infinity,0.002364913216473464,20.165592775188276,19.91587699872714
171,3,0.112833,230.9601570421855,2.672556271922697,0.6634607321693942,0.7390879861251065,11.1395,6.8774,9.6355,6.3003,8.2006,5.7497,6.6472,5.1536,0.1639,0.0782,0.0949,0.0472,0.0612,0.0392,0.1051,0.0642,18.244091737843572,17.441742432118026,16.982307971976063,16.77245604902817,0.044658124,0.0024971389880508303,0.00238750389050375,0.002070491294805249,0.0025855435021217444,19.860641928075776,20.15213143497289
171,2,0.020865,230.9415084439488,2.67026416322864,-0.19673834702027193,-0.26607718789076884,13.4541,2.1125,13.8775,1.9715,14.2815,1.837,14.7188,1.6914,0.0185,0.0033,0.0118,0.0021,0.0171,0.0024,0.0289,0.0039,16.382538329042028,15.946439339434708,15.685919096558038,15.583887627465968,0.045394827,9.646460560374257E-4,0.0010381967046520304,0.0010422350216425734,0.0013878343169752205,18.246409175889287,17.884592159455707
171,1,0.052511,230.9219656491059,2.666691082692337,1.1286275432720263,1.1485686867915454,34.382,1.2023,31.7543,1.4562,29.2472,1.6983,26.5332,1.9605,0.0236,0.0012,0.0149,8.0E-4,0.0196,0.0013,0.0329,0.0022,16.09820212631791,15.243989795071887,14.814963505358941,14.523270407087502,0.04530542,6.289869572876831E-4,6.5036107566603E-4,7.680405249132471E-4,8.844091630121612E-4,18.57541643633454,18.050165320799344
