brickid,brickname,objid,type,ra,dec,flux_ivar_g,flux_ivar_r,flux_ivar_i,flux_ivar_z
112777,0555m412,7928,SER,55.6112999346209,-41.15495072558315,2268.5193,1514.4302,404.20074,157.3489
260522,0563m122,5948,SER,56.42341185017834,-12.30330804051288,20.8572,12.447219,4.126629,1.3157092
260522,0563m122,6167,SER,56.42954445264876,-12.29587363496046,19.74639,13.634355,6.9345474,4.15911
260522,0563m122,8860,DUP,56.42952415390148,-12.29582960827101,0.0,0.0,0.0,0.0
260522,0563m122,6093,SER,56.42748324186661,-12.27369585735638,128.16844,91.19132,50.160484,30.03896
260522,0563m122,6203,SER,56.430349879522,-12.26294740384917,88.5096,65.66189,36.772633,19.203817
260522,0563m122,6174,SER,56.42964649532357,-12.26262310239199,203.58763,150.95966,80.06128,38.31579
332064,0641p002,4254,REX,64.18094369777495,0.2499579260995098,962.828,289.04706,86.30734,93.50606
332064,0641p002,4269,SER,64.18155805150886,0.2504201021289988,1004.1761,280.81375,80.23729,84.454124
332064,0641p002,4283,SER,64.18220613838773,0.2503914171634353,47.039425,12.601858,4.0859823,3.882531
332064,0641p002,4031,SER,64.16998115778065,0.2924473022406908,41.734375,9.7775135,4.7908134,2.9257987
332064,0641p002,4196,SER,64.17887930692125,0.2728497509646505,65.90713,18.689238,8.720244,8.092539
332064,0641p002,4206,SER,64.17950320666263,0.2729573881293413,256.34622,58.653984,24.303478,22.717644
200263,0704m232,7895,SER,70.54333197695561,-23.2502926234109,18.138874,12.742325,4.88415,2.1842778
200263,0704m232,9778,DUP,70.54332072433151,-23.25027864642653,0.0,0.0,0.0,0.0
200263,0704m232,7793,SER,70.54055189654741,-23.2376842638473,61.216934,50.618065,17.223783,8.728726
200263,0704m232,7822,SER,70.54116695597808,-23.23700230467508,606.41876,561.6575,171.83983,60.102394
200263,0704m232,8226,SER,70.55179936391094,-23.2424223098053,203.52223,176.94862,49.882042,16.802742
200263,0704m232,7138,SER,70.52222583384089,-23.24945498125894,135.46582,131.16551,64.408165,29.678917
200263,0704m232,7137,REX,70.52219347840752,-23.24916053708371,424.64938,508.98834,293.23953,106.76123
208256,0710m217,7698,SER,71.10617325880328,-21.86501550591355,147.70291,87.62808,26.338863,11.437039
206918,0711m220,2417,SER,71.08384084853071,-21.87865713675409,854.2547,791.89557,327.05206,96.83566
206918,0711m220,2414,SER,71.08374050309193,-21.87837950419339,402.51627,303.148,116.51258,41.663887
206918,0711m220,4115,SER,71.1237598228109,-21.87889426032432,608.0031,469.19302,152.60829,45.71918
206918,0711m220,4156,SER,71.12449448156778,-21.87924339533691,86.58868,51.78445,19.637312,6.879552
206918,0711m220,4172,SER,71.12480285419728,-21.87845032852269,815.37305,599.603,176.26863,52.310375
